state,vegetable,fork-ranger-name,January,February,March,April,May,June,July,August,September,October,November,December
alabama,apples,Apple,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,arugula,Rocket,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,asian-pears,Asian pears,,,,,,,,Starting Now,Prime Time,Last Chance,,
alabama,asparagus,Asparagus,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,
alabama,basil,X,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,beets,Beetroot,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,black-eyed-peas,X,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,blackberries,Blackberry,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,blueberries,Blueberry,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,bok-choy,Bok choy,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,boysenberries,Boysenberry,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,brambles,X,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,broccoli,Broccoli,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,brussels-sprouts,Brussels sprouts,,,,,,,,,,Starting Now,Last Chance,
alabama,cabbage,White cabbage,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,cantaloupe,Cantaloupe,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,cardoons,Cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,carrots,Carrot,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,cauliflower,Cauliflower,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,celery,Celery,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
