state,vegetable,January,February,March,April,May,June,July,August,September,October,November,December
alabama,apples,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
alabama,arugula,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
alabama,asian-pears,,,,,,,,Starting Now,Prime Time,Last Chance,,
alabama,asparagus,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,
alabama,basil,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,beets,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
alabama,black-eyed-peas,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,blackberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,blueberries,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,bok-choy,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,boysenberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,brambles,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,broccoli,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
alabama,brussels-sprouts,,,,,,,,,,Starting Now,Last Chance,
alabama,cabbage,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
alabama,cantaloupe,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
alabama,cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
alabama,carrots,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
alabama,cauliflower,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
alabama,celery,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
alabama,celery-root,Prime Time,Prime Time,Last Chance,,,,,,,,Starting Now,Prime Time
alabama,chard,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time
alabama,cherries,,,,,,Starting Now,Last Chance,,,,,
alabama,chicories,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
alabama,chili-peppers,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
