nameNL,nameEN,nameDE,nameUS,ignorecol
Bladkool,Collard greens,Blattkohl,Collard greens,new
Okra,Okra,Okraschote,Okra,new
Kruisbes,Gooseberry,Stachelbeeren,Gooseberry,existing
Boysenbes,Boysenberry,Boysenbeere,Boysenberry,new
Kardoen,Cardoons,Cardy,Cardoons,new
Postelein,Purslane,Portulak,Purslane,new
Kweepeer,Quince,Quitte,Quince,existing
Sugar snaps,Sugar snaps,Zuckerschoten,Sugar snaps,new
Peultjes,Snow peas,Zuckerschoten,Snow peas,new
Appelpeer,Asian pears,Nashi-Birne,Asian pears,new
Mierikswortel,Horseradish,Meerrettich,Horseradish,new
Pawpaw,Pawpaw,Papau,Pawpaw,new
Netmeloen,Cantaloupe,Kantalupe,Cantaloupe,new
